mlbam,fgid,name,war,ip,gs,g
606131,14682,Luis Perdomo,0.5704499322689417,132.66700744628906,20.0,29.0
430912,4732,Matt Cain,0.568939045268213,92.66670227050781,17.0,19.0
570666,13345,Luis Cessa,0.5671482123616899,126.66699981689453,22.0,26.0
605482,16106,Cy Sneed,0.5658769218151855,120.0,22.0,26.0
502026,9490,Jeremy Jeffress,0.5629597341929711,62.33330154418945,0.0,63.0
502272,3926,Casey Fien,0.5588062857306729,56.33330154418945,0.0,57.0
606983,17695,Koda Glover,0.5575353329481668,68.66670227050781,0.0,53.0
543475,7593,Jordan Lyles,0.5564128916810345,97.66670227050781,15.0,32.0
518617,5003,Jake Diekman,0.5526265732176021,58.0,0.0,67.0
608650,13932,Dietrich Enns,0.5507412708803594,81.0,15.0,20.0
595285,sa550202,Ricky Knapp,0.54994797154067,130.0,20.0,24.0
477003,4424,Jonathon Niese,0.5497113662483456,143.33299255371094,23.0,30.0
534812,12360,Kevin Quackenbush,0.5495534965223002,68.66670227050781,0.0,68.0
594965,16110,Daniel Ponce de Leon,0.5491735107020267,126.0,23.0,23.0
488748,9456,Ryan Buchter,0.5483720748036515,56.0,0.0,55.0
571863,13420,Matt Koch,0.5474267128763005,114.33300018310547,18.0,28.0
656407,sa875700,Matt Esparza,0.5474237294773252,95.66670227050781,17.0,23.0
502083,2895,Zach McAllister,0.5465997268076374,62.0,0.0,58.0
458690,9901,Chris Volstad,0.5451694340564984,140.33299255371094,24.0,25.0
450212,4682,Pat Neshek,0.5450725942607653,46.33330154418945,0.0,58.0
592426,11752,Luke Jackson,0.543937200578733,62.33330154418945,0.0,56.0
519151,7005,Ryan Pressly,0.5388726606764861,66.66670227050781,0.0,58.0
571639,sa659070,Jonathan Dziedzic,0.5384021111912598,123.66699981689453,24.0,25.0
608349,15010,Corey Knebel,0.5375933395619694,56.66669845581055,0.0,54.0
543506,4878,Brandon Maurer,0.5316333410682699,65.0,0.0,66.0
596064,13143,Henry Owens,0.5291761600512732,151.66700744628906,29.0,29.0
488957,sa393410,Carlos Hernandez,0.5291164319973437,95.66670227050781,17.0,21.0
502373,sa327830,Andrew Barbosa,0.5290540376255862,64.66670227050781,14.0,18.0
518813,7196,Greg Holland,0.528692076752902,35.33330154418945,0.0,39.0
429719,1841,Edwin Jackson,0.5285775393946526,118.33300018310547,22.0,25.0
622608,15488,Antonio Senzatela,0.5284881305463099,81.66670227050781,16.0,16.0
621056,15091,Hunter Wood,0.5276760157311798,98.33329772949219,15.0,24.0
489002,4053,Steve Johnson,0.5240234005738614,60.66669845581055,5.0,31.0
461325,5640,Tyler Clippard,0.5239530850577793,61.33330154418945,0.0,67.0
502381,4090,Luke Gregerson,0.5215662170934677,55.33330154418945,0.0,59.0
621281,13796,Tyler Wagner,0.5208711971892592,92.0,17.0,18.0
518748,11720,Justin Grimm,0.5199556426763021,57.0,0.0,69.0
594742,13560,Alec Asher,0.5198467437992272,107.66699981689453,21.0,21.0
543056,13293,Danny Coulombe,0.5153295222707328,65.66670227050781,0.0,54.0
476123,10265,Justin Marks,0.5149250787548176,103.66699981689453,16.0,26.0
459429,7550,Jake McGee,0.5125355016631945,50.0,0.0,57.0
545363,10185,Jacob Turner,0.5099636825378758,94.33329772949219,15.0,25.0
543118,8823,Oliver Drake,0.5089613179003317,59.0,0.0,55.0
643354,15306,Donnie Hart,0.5086830572041968,60.0,0.0,60.0
518944,sa390254,Mitch Lively,0.5082815205393125,67.0,6.0,40.0
506693,5669,Henderson Alvarez,0.5073597076353493,73.0,15.0,15.0
607473,12452,Chasen Bradford,0.5067556541860401,70.66670227050781,0.0,56.0
458677,4301,Justin Wilson,0.5062225072742074,58.33330154418945,0.0,68.0
611093,15051,Silvino Bracho,0.505198250632029,64.0,0.0,63.0
451775,7558,Fernando Rodriguez Jr.,0.5043655556746466,49.0,0.0,43.0
435043,3840,Zach Duke,0.5037247376103118,55.33330154418945,0.0,70.0
595345,13580,Steven Okert,0.5029687145120652,65.66670227050781,0.0,57.0
573124,13449,Taylor Rogers,0.5020640047837075,78.0,0.0,68.0
518631,sa392100,Terry Doyle,0.49990277981737086,82.66670227050781,12.0,19.0
656311,sa827463,Brian Clark,0.49979241953160236,57.66669845581055,0.0,39.0
595014,12572,Blake Treinen,0.4980652485233694,70.66670227050781,0.0,68.0
607751,sa598974,Matt Tomshaw,0.4978200912349776,106.0,17.0,25.0
518560,8037,Paul Clemens,0.49415024004271124,96.33329772949219,16.0,27.0
605476,13172,Carson Smith,0.49201102884372383,45.33330154418945,0.0,46.0
543339,7146,Daniel Hudson,0.48749586710549886,51.0,0.0,53.0
607237,14375,Amir Garrett,0.48418911292629596,123.33300018310547,24.0,24.0
474029,9080,Zach Putnam,0.48392108445516613,41.0,0.0,39.0
474668,2540,Eric Surkamp,0.48141183933278264,103.66699981689453,17.0,33.0
450282,8041,Glen Perkins,0.481272822204175,41.33330154418945,0.0,42.0
544150,6175,Albert Suárez,0.4808200586985816,115.66699981689453,19.0,25.0
501563,9243,Simon Castro,0.478880222385199,59.33330154418945,0.0,49.0
542953,8490,Buddy Boshers,0.477655768241082,55.66669845581055,0.0,57.0
519263,11432,A.J. Schugel,0.4775073209403988,67.33329772949219,0.0,56.0
534737,11350,Pat Dean,0.4744549476567145,143.66700744628906,24.0,28.0
523260,9761,Joe Kelly,0.4736656460434434,60.33330154418945,0.0,60.0
519096,7385,Dan Otero,0.4725369841926722,68.33329772949219,0.0,59.0
663399,18347,Brandon Waddell,0.4724393985929114,132.0,24.0,26.0
594835,15467,Marco Gonzales,0.4716187160595565,82.33329772949219,16.0,16.0
518852,11157,Eric Jokisch,0.4712284346763246,89.33329772949219,14.0,24.0
572096,10745,Trevor Rosenthal,0.46497825634494583,58.66669845581055,0.0,59.0
642590,sa736833,Francisco Rios,0.46460774345179656,97.33329772949219,18.0,22.0
489265,9817,Sergio Romo,0.46283128116075256,45.33330154418945,0.0,55.0
592499,16731,Artie Lewicki,0.46188373320603093,89.66670227050781,16.0,18.0
519301,11457,Sammy Solís,0.4608128827744011,51.0,0.0,43.0
475054,9866,Chaz Roe,0.46043214052582765,62.66669845581055,0.0,55.0
621413,sa658786,Tyler DeLoach,0.4603117040521929,99.33329772949219,13.0,37.0
605177,12988,Andrew Chafin,0.45911469108830677,65.0,0.0,63.0
488984,1157,Tommy Hunter,0.45780637310726574,54.33330154418945,0.0,53.0
542947,7803,Richard Bleier,0.4562894901129295,95.33329772949219,13.0,31.0
608032,14542,Carlos Estévez,0.45427244984327614,61.66669845581055,0.0,64.0
502748,5401,Brad Peacock,0.453664643070671,102.0,19.0,22.0
592299,sa598931,Andy Ferguson,0.4521194346192865,83.33329772949219,16.0,18.0
519322,6983,Drew Storen,0.45160849137205417,55.66669845581055,0.0,60.0
594577,15451,Mike Mayers,0.45019929305808126,119.33300018310547,22.0,23.0
656794,16943,Sean Newcomb,0.4486468804875262,124.0,27.0,27.0
642007,sa739006,Arturo Reyes,0.4480771204153289,96.0,18.0,18.0
493337,11420,Yunesky Maya,0.4475816308602627,62.66669845581055,11.0,12.0
622092,14169,Kyle Zimmer,0.44331064288521155,35.33330154418945,7.0,7.0
613548,sa657697,Pedro Fernandez,0.4432397229688488,79.66670227050781,15.0,19.0
501817,3555,Tony Barnette,0.43769564327109295,49.0,0.0,47.0
548357,10925,Christian Bergman,0.4368702282760976,88.33329772949219,13.0,26.0
643316,15832,Paul Fry,0.4354742120333645,65.66670227050781,0.0,50.0
607962,sa598555,Blake McFarland,0.4332927413597785,55.33330154418945,0.0,44.0
502836,sa393067,Nick Additon,0.43245697645789904,90.33329772949219,14.0,22.0
621199,13528,Matt Bowman,0.4321577027360854,68.0,0.0,61.0
453311,5705,Tim Lincecum,0.43088165249937654,92.0,17.0,19.0
607352,13194,Joe Biagini,0.4305061265599274,66.66670227050781,0.0,60.0
408061,1642,Francisco Rodríguez,0.4289221115710692,49.33330154418945,0.0,55.0
641729,15761,Joe Jiménez,0.4280904593609513,46.33330154418945,0.0,52.0
570714,14099,César Vargas,0.4269110379418496,60.66669845581055,4.0,29.0
457732,1368,Andrew Bailey,0.425465319418641,42.33330154418945,0.0,41.0
599998,12277,Leonel Campos,0.4249215563959584,58.33330154418945,0.0,46.0
607572,16265,Sam Howard,0.4246267412189947,135.0,25.0,25.0
656887,17034,Sean Reid-Foley,0.42381429834312173,102.33300018310547,24.0,24.0
518420,9303,Dylan Axelrod,0.42110887722105134,116.66699981689453,21.0,25.0
621289,15066,Jaime Schultz,0.4203127923399448,107.33300018310547,24.0,24.0
592390,11632,Heath Hembree,0.4202953034043422,60.0,0.0,53.0
605525,14506,J.B. Wendelken,0.4198201431599639,76.33329772949219,0.0,71.0
489446,9073,Kirby Yates,0.41865276953046854,56.33330154418945,0.0,52.0
519267,7525,Evan Scribner,0.41735603535550897,39.66669845581055,0.0,37.0
462382,3656,Jim Johnson,0.41702347543394835,62.33330154418945,0.0,64.0
592238,11366,Brandon Cumpton,0.416945303290627,83.0,14.0,15.0
474521,10481,Shawn Tolleson,0.4152427090600799,59.0,0.0,58.0
457429,5525,Boone Logan,0.41490352066372316,38.0,0.0,56.0
641627,15046,Trevor Gott,0.414472176714659,64.33329772949219,0.0,59.0
543359,8073,Dan Jennings,0.412965848571913,57.33330154418945,0.0,58.0
606935,sa599309,Christian Binford,0.4129351816418997,127.33300018310547,23.0,23.0
455374,8844,Antonio Bastardo,0.4124364657473433,58.33330154418945,0.0,64.0
543278,6499,Blaine Hardy,0.4095636154873391,58.0,0.0,61.0
502028,1345,Blake Wood,0.4094979449564144,55.66669845581055,0.0,55.0
279571,1837,Matt Belisle,0.40316959168872685,45.66669845581055,0.0,43.0
539438,5089,Scott Diamond,0.4026536491680166,137.0,24.0,26.0
642083,15231,Aaron Slegers,0.4025099452202714,131.0,24.0,24.0
516714,14239,Dario Alvarez,0.4019029527792966,54.0,0.0,53.0
594029,sa550590,Bryan Rodriguez,0.4007079623540469,135.66700744628906,24.0,25.0
457422,5518,Tim Dillard,0.4005680448626454,52.0,3.0,29.0
502522,8580,Justin Miller,0.39865119765454926,60.0,0.0,53.0
534947,10968,Tim Adleman,0.3976068043396435,111.66699981689453,19.0,27.0
641850,15215,Kevin McGowan,0.3966420859780163,87.0,8.0,37.0
543766,8110,Bryan Shaw,0.3957103332651621,65.0,0.0,74.0
605304,12520,Erik Johnson,0.39516868290495766,112.33300018310547,20.0,21.0
605169,12803,Carter Capps,0.39508853876087563,28.33329963684082,0.0,25.0
607560,12680,Ryne Harper,0.39478071155199823,58.0,0.0,38.0
543258,7303,Preston Guilmet,0.39348249798175605,60.0,0.0,55.0
657610,17002,Trevor Hildenberger,0.3934453590234113,46.33330154418945,0.0,37.0
544928,11334,Tyler Lyons,0.39270942479177906,61.0,0.0,48.0
501625,5358,Jose Alvarez,0.39263808780426473,66.0,0.0,66.0
641739,15792,Rob Kaminsky,0.3914246979872528,111.33300018310547,22.0,22.0
571656,14814,Buck Farmer,0.38630282172820074,121.0,21.0,30.0
453385,3551,Clayton Richard,0.38481019118851484,66.0,10.0,27.0
664199,17611,Taylor Clarke,0.3841930261642005,139.66700744628906,27.0,27.0
453646,4138,Carlos Villanueva,0.38214983866648383,64.66670227050781,0.0,42.0
458584,36,Xavier Cedeño,0.38174570836405497,42.33330154418945,0.0,55.0
460283,7841,Jerry Blevins,0.3792173223292894,32.33330154418945,0.0,48.0
643414,15378,Kyle Lloyd,0.37894460350071635,117.33300018310547,19.0,28.0
502578,11243,Aaron Barrett,0.3777882701095329,32.66669845581055,0.0,40.0
642098,15200,Glenn Sparkman,0.37751862511748313,67.66670227050781,15.0,18.0
518445,10297,Chad Bell,0.3743571438095997,98.0,16.0,27.0
475243,9884,Travis Wood,0.3728816802088667,60.66669845581055,0.0,73.0
571670,13394,Dylan Floro,0.3695665410986512,73.33329772949219,0.0,56.0
592448,sa549495,Tyler Jones,0.36742157743664644,51.66669845581055,0.0,41.0
622217,13818,Chris O'Grady,0.36356503980105737,78.66670227050781,5.0,42.0
605218,13607,Carl Edwards Jr.,0.36118587290449666,52.66669845581055,0.0,50.0
502202,10133,Brad Boxberger,0.35939909291488475,51.33330154418945,0.0,54.0
623395,17233,Brian Ellington,0.3586683825802134,63.0,0.0,54.0
598264,12863,Matt Barnes,0.35736018918303325,68.0,0.0,63.0
573244,8421,Adam Wilk,0.35605533241332143,113.0,19.0,21.0
571735,9756,David Hale,0.3536608611706097,103.0,18.0,29.0
448609,8280,Tony Sipp,0.3516765778726386,48.33330154418945,0.0,58.0
593417,12790,Raúl Alcántara,0.351631308434975,114.66699981689453,25.0,25.0
622703,15688,Ronald Herrera,0.34899198816648863,127.66699981689453,23.0,24.0
596295,16561,Austin Gomber,0.3445015180021995,116.0,21.0,21.0
572687,sa503277,Tristan Archer,0.34345605646180605,83.0,4.0,37.0
276542,1437,Joaquín Benoit,0.34249205100788077,44.0,0.0,48.0
543779,8180,Kevin Siegrist,0.3421286396114227,60.33330154418945,0.0,68.0
432934,3196,Chris Young,0.3416146020662791,74.33329772949219,10.0,27.0
