Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jacob Young","WSN",40,172,155,37,27,7,1,2,18,14,12,0,31,3,1,1,,8,2,0.238709,0.0671358,0.181518,0.369857,0.300108,0.334932,0.284314,0.63504,0.0962225,5.69154,0.282008,0.123027,0.513214,15.9651,-4.48938,76.903,0.636241,2.53056,-4.181171417236328,3.143981397151947,0.461013,746.0700073242188,,,,,,,151.6,3.79,151.6,3.79,,,,,,,,,,,,,,,,,,,"Jacob Young","29931",696285
"Nathan Lukes","TOR",35,151,137,35,25,7,0,3,17,15,11,0,25,1,1,1,,1,1,0.258017,0.0716737,0.1646,0.435442,0.316297,0.375693,0.305938,0.69199,0.117676,3.54496,0.294601,-0.000620947,-0.179697,16.6999,-1.30004,95.2344,-0.180318,1.60721,-1.0209296494722366,0.11863017082214355,0.455901,999,,,,,,,142.6,4.074285714,142.6,4.074285714,,,,,,,,,,,,,,,,,,,"Nathan Lukes","18123",664770
"Josh Lowe","LAA",33,144,130,32,20,6,1,5,17,18,12,0,40,1,1,1,,6,1,0.242169,0.0831269,0.274667,0.302646,0.306635,0.414308,0.314487,0.720943,0.17214,5.95711,0.306851,-0.0386072,0.69079,16.9411,-0.240682,99.3614,0.652183,0.241527,0.544666200876236,-1.2388737946748734,0.452117,297.0899963378906,,,,,,,166.9,5.057575757,166.9,5.057575757,,,,,,,,,,,,,,,,,,,"Josh Lowe","19953",666139
"Oswald Peraza","LAA",39,167,151,35,24,6,0,5,18,17,11,0,44,3,1,1,,7,2,0.230581,0.0660813,0.262575,0.251666,0.292646,0.370803,0.293278,0.663449,0.140222,5.56853,0.290414,0.010824,0.528676,16.7547,-3.15433,84.623,0.5395,0.379742,-2.460525095462799,0.9440937936306,0.451694,999,,,,,,,159.1,4.079487179,159.1,4.079487179,,,,,,,,,,,,,,,,,,,"Oswald Peraza","22823",672724
"Dalton Rushing","LAD",32,126,110,25,15,5,0,5,15,16,13,0,34,2,1,0,,0,0,0.227651,0.101085,0.272392,0.3711,0.319697,0.407281,0.320679,0.726978,0.17963,2.1273,0.281532,-0.0111399,-0.148938,15.4848,0.42411,101.67,-0.160078,-1.95044,0.09638567268848419,0.24122881889343262,0.451097,745.8300170898438,,,,,,,136.5,4.265625,136.5,4.265625,,,,,,,,,,,,,,,,,,,"Dalton Rushing","31382",687221
"Tyler O'Neill","BAL",29,126,112,26,16,5,0,6,15,17,12,0,36,1,1,0,,2,0,0.23708,0.0939659,0.282634,0.332465,0.316422,0.438063,0.328429,0.754484,0.200983,4.00317,0.291442,0.0043725,0.0338481,16.2141,1.21409,111.72,0.0382206,-0.325628,1.7609611675143242,-1.8387452363967896,0.448262,477.6400146484375,,,,,,,147.3,5.079310344,147.3,5.079310344,,,,,,,,,,,,,,,,,,,"Tyler O'Neill","15711",641933
"JJ Bleday","CIN",46,200,174,41,24,9,1,8,24,25,23,0,46,1,1,1,,2,1,0.236266,0.113801,0.228453,0.498138,0.325536,0.427601,0.329497,0.753136,0.191334,3.79639,0.273709,-0.0487929,-0.243217,25.8706,2.09707,102.258,-0.29201,-0.140979,0.2552775740623474,-2.3477692902088165,0.445893,748.5800170898438,,,,,,,235.6,5.12173913,235.6,5.12173913,,,,,,,,,,,,,,,,,,,"JJ Bleday","26368",668709
"Tommy Edman","LAD",43,187,169,41,28,8,1,4,21,20,13,0,35,2,1,1,,5,1,0.24069,0.0685927,0.189747,0.361495,0.300174,0.374182,0.297508,0.674356,0.133492,5.55639,0.277976,0.0462357,0.377437,19.3481,-2.88168,86.1955,0.423672,0.45151,-2.705457925796509,1.0181767046451569,0.444245,730.1199951171875,,,,,,,178.8,4.158139534,178.8,4.158139534,,,,,,,,,,,,,,,,,,,"Tommy Edman","19470",669242
"Jakob Marsee","MIA",39,167,143,31,21,6,1,3,20,15,20,0,37,3,1,1,,10,3,0.220404,0.118777,0.223842,0.530626,0.324962,0.344847,0.303384,0.66981,0.124443,6.49851,0.273265,0.0874161,0.582639,18.1249,-1.7842,88.2996,0.670055,-0.00631921,-1.7052451372146606,0.5907486821524799,0.438078,137.0800018310547,,,,,,,161.5,4.141025641,161.5,4.141025641,,,,,,,,,,,,,,,,,,,"Jakob Marsee","31370",805300
"Ty France","SDP",45,196,175,44,30,8,0,6,22,22,12,0,38,6,1,1,,1,0,0.253264,0.0629137,0.191665,0.328248,0.323195,0.399571,0.318914,0.722767,0.146307,2.96411,0.290254,-0.0364453,-0.215339,23.7181,0.376771,103.668,-0.251784,0.874009,0.621286153793335,-2.675990581512451,0.43776,999,,,,,,,206.9,4.597777777,206.9,4.597777777,,,,,,,,,,,,,,,,,,,"Ty France","17982",664034
