Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Andrew Abbott","CIN",8,7,,4,27,27,,,,153,646,151,73,68,19,43,0,4,134,7.88235,2.52941,3.11628,1.11765,0.20743,0.0665635,0.14086688309907913,0.252087,1.26797,0.295964,0.72282,,,3.91945,3.06365,2.6907,999,,,,,,,632.9,4.136601307189542,645,4.215686274509804,,,,,,,,,,,,,,,,,,,"Andrew Abbott","29911",671096
"Jesús Luzardo","PHI",10,9,,4.09889,26,26,,,,153.7,644,141,75,70,20,45,0,4,160,9.3689,2.635,3.55556,1.17111,0.248447,0.0698758,0.1785714328289032,0.236975,1.21015,0.291566,0.702532,,,3.70117,2.85951,2.29248,999,,,,,,,697.7799774169922,4.539882831955857,681.4999847412109,4.4339622529121,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Cole Ragans","KCR",7,7,,3.78335,24,22,,,,123.7,516,105,56,52,13,42,0,4,143,10.4042,3.05578,3.40476,0.945837,0.277132,0.0813954,0.19573644548654556,0.223404,1.18836,0.292994,0.706522,,,3.3049,2.84383,2.19924,999,,,,,,,630.4799774169923,5.096847154174093,597.4999847412109,4.830234433968607,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"MacKenzie Gore","TEX",10,8,,3.97857,27,27,,,,149.3,639,133,71,66,16,53,0,9,159,9.58473,3.19491,3,0.964501,0.248826,0.0829421,0.16588419675827026,0.230503,1.24581,0.291045,0.702934,,,3.64418,2.782,2.00245,999,,,,,,,694.2200225830079,4.649832608123543,670.5000152587891,4.490957813486092,,,,,,,,,,,,,,,,,,,"MacKenzie Gore","22201",669022
"Chase Burns","CIN",7,6,,3.77393,27,21,,,,109.7,448,94,49,46,13,27,0,0,119,9.76299,2.21513,4.40741,1.06655,0.265625,0.0602679,0.2053571417927742,0.223278,1.10301,0.280277,0.700389,,,3.24453,2.77104,2.20351,999,,,,,,,564.4799774169921,5.145669946402284,536.4999847412109,4.89061075356582,,,,,,,,,,,,,,,,,,,"Chase Burns","35333",695505
"Spencer Schwellenbach","ATL",9,6,,3.42254,22,22,,,,142,571,127,58,54,17,25,1,5,135,8.55634,1.58451,5.4,1.07746,0.236427,0.0437828,0.19264448434114456,0.23475,1.07042,0.282776,0.733229,,,3.42387,2.76177,3.25211,999,,,,,,,691.5,4.869718309859155,669,4.711267605633803,,,,,,,,,,,,,,,,,,,"Spencer Schwellenbach","31846",680885
"Shane McClanahan","TBR",9,6,,3.43726,22,22,,,,128.3,527,114,52,49,15,35,1,2,127,8.90881,2.45518,3.62857,1.05222,0.240987,0.0664137,0.17457305639982224,0.232653,1.16134,0.284483,0.757812,,,3.54044,2.68528,2.84141,999,,,,,,,611.5200225830077,4.7663289792465005,589.5000152587891,4.594699931698189,,,,,,,,,,,,,,,,,,,"Shane McClanahan","21483",663556
"George Kirby","SEA",10,7,,3.72414,26,26,,,,145,598,136,64,60,17,27,0,6,135,8.37931,1.67586,5,1.05517,0.225753,0.0451505,0.18060199916362762,0.240708,1.12414,0.288136,0.711207,,,3.47996,2.68068,2.09974,999,,,,,,,681.3000000000001,4.698620689655173,675,4.655172413793103,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Max Fried","NYY",11,7,,3.73764,25,25,,,,151.7,642,142,67,63,16,44,0,5,130,7.71259,2.61042,2.95455,0.949242,0.202492,0.0685358,0.13395638018846512,0.23946,1.2261,0.281879,0.727384,,,3.76137,2.61817,2.60926,999,,,,,,,669.5799774169923,4.413843051331392,663.4999847412109,4.373763995312323,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Spencer Strider","ATL",11,9,,3.92958,26,25,,,,142,592,124,66,62,18,43,0,7,161,10.2042,2.72535,3.74419,1.14085,0.271959,0.0726351,0.1993243172764778,0.228782,1.17606,0.292011,0.712271,,,3.57176,2.60222,2.36788,999,,,,,,,679,4.78169014084507,648,4.563380281690141,,,,,,,,,,,,,,,,,,,"Spencer Strider","27498",675911
