Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Hunter Stovall",,96,376,348,80,60,14,1,5,39,32,21,10,69,2,3,2,0,7,2,0.229885,0.0558511,0.183511,0.304348,0.275401,0.318966,0.250806,0.594367,0.0890805,4.59575,0.270758,,0.0990431,25.4242,-19.0031,55.5121,0.0990431,9.5,-19.72646115720272,10.881540298461914,0.374558,999,,,,,,,270,2.8125,270,2.8125,,,,,,,,,,,,,,,,,,,"Hunter Stovall","sa3008181",667663
"Xavier Isaac","TBR",83,336,292,65,36,13,2,14,42,45,38,5,117,4,2,0,0,4,2,0.222603,0.113095,0.348214,0.324786,0.318452,0.424658,0.318557,0.74311,0.202055,4.72115,0.312883,,-0.500957,41.2019,1.50095,103.104,-0.500957,0,0.7281296849250793,-8.641975402832031,0.373887,999,,,,,,,380.7,4.586746987,380.7,4.586746987,,,,,,,,,,,,,,,,,,,"Xavier Isaac","sa3020498",800060
"Ezequiel Duran","TEX",116,390,361,88,58,20,1,9,45,40,22,8,91,4,2,1,0,10,3,0.243767,0.0564103,0.233333,0.241758,0.293059,0.379501,0.285325,0.672561,0.135734,4.94697,0.30038,,0.269721,37.3009,-8.78056,82.4989,0.269721,-6.3,-7.774849146604538,-2.001058578491211,0.373592,999,,,,,,,368.7,3.178448275,368.7,3.178448275,,,,,,,,,,,,,,,,,,,"Ezequiel Duran","23733",677649
"Isan Díaz",,63,253,223,48,32,6,1,9,29,30,25,4,66,2,1,2,0,2,2,0.215247,0.0988142,0.26087,0.378788,0.298805,0.372197,0.290022,0.671002,0.156951,3.62258,0.261745,,-0.782127,25.1626,-4.73126,81.3124,-0.782127,-1.5,-6.354570209980011,1.2888007164001465,0.37291,999,,,,,,,232.7,3.693650793,232.7,3.693650793,,,,,,,,,,,,,,,,,,,"Isan Diaz","17922",656371
"Brock Jones","TBR",102,379,331,61,31,13,3,14,46,47,39,3,160,5,2,2,0,12,5,0.18429,0.102902,0.422164,0.24375,0.278515,0.36858,0.281849,0.647095,0.18429,6.95381,0.295597,,-0.122907,35.1793,-9.60242,77.8169,-0.122907,4.8,-10.031979992985725,0.6223106384277344,0.372314,999,,,,,,,337.8,3.311764705,337.8,3.311764705,,,,,,,,,,,,,,,,,,,"Brock Jones","sa3020190",677342
"Josue De Paula","LAD",121,504,440,100,69,16,2,13,61,54,58,7,121,4,2,0,0,14,4,0.227273,0.115079,0.240079,0.479339,0.321429,0.361364,0.29925,0.682792,0.134091,5.24748,0.282468,,0.343323,53.9023,-5.6492,91.0899,0.343323,-2.6,-4.979064077138901,-8.155555248260498,0.371244,999,,,,,,,501.4,4.143801652,501.4,4.143801652,,,,,,,,,,,,,,,,,,,"Josue De Paula","sa3018591",800543
"Christian Vázquez","HOU",72,246,225,48,36,8,0,4,20,21,16,6,50,2,2,1,0,1,1,0.213333,0.0650406,0.203252,0.32,0.269388,0.302222,0.243895,0.57161,0.0888889,2.03161,0.254335,,-0.526398,15.2536,-13.8132,53.1295,-0.526398,4.7,-14.116009712219238,9.21939992904663,0.36556,999,,,,,,,157.7,2.190277777,157.7,2.190277777,,,,,,,,,,,,,,,,,,,"Christian Vazquez","9774",543877
"Garrett Stubbs","PHI",76,257,229,51,37,8,2,4,31,24,20,2,65,4,1,3,1,3,1,0.222707,0.077821,0.252918,0.307692,0.295276,0.327511,0.275075,0.622787,0.104803,5.40119,0.291925,,-0.199016,22.4416,-7.92494,72.4098,-0.199016,-1.1,-8.602947726845741,3.6214874982833862,0.364889,999,,,,,,,203.7,2.680263157,203.7,2.680263157,,,,,,,,,,,,,,,,,,,"Garrett Stubbs","18067",596117
"Yasmani Grandal",,66,241,213,48,35,8,0,5,17,22,24,7,50,2,1,1,0,0,0,0.225352,0.0995851,0.207469,0.48,0.308333,0.333333,0.275908,0.641667,0.107981,0.63726,0.27044,,-0.35649,21.2074,-7.26863,70.4101,-0.35649,-0.4,-8.761402428150177,4.027542680501938,0.364598,999,,,,,,,204,3.09090909,204,3.09090909,,,,,,,,,,,,,,,,,,,"Yasmani Grandal","11368",518735
"Nick Morabito","NYM",122,513,466,112,84,20,3,5,61,50,38,9,124,7,2,0,0,28,9,0.240343,0.0740741,0.241715,0.306452,0.306043,0.328326,0.27621,0.634369,0.0879828,6.56092,0.315634,,1.12214,45.2688,-15.3461,78.0992,1.12214,-3.2,-12.193811893463135,-1.3150794506072998,0.363578,999,,,,,,,446.3,3.658196721,446.3,3.658196721,,,,,,,,,,,,,,,,,,,"Nick Morabito","32119",703492
