feature,reliability_r,stabilize_n,pred_split_r,pred_yoy_r,pred_yoy_paxw_r,curr_r,n_split,n_pairs
ops,0.2728590742511593,1855.1858549217818,-0.3208250596400318,-0.3803337771450548,0.3575158644823401,-0.8177687366117108,4202,898
rv100,0.2667002163210772,1914.1035371431767,0.317976889093267,0.35598341236687536,-0.33977954590516457,0.825967955723249,4202,898
slg,0.27990166442276765,1790.991657895948,-0.30478803908605107,-0.37992058437416404,0.3546152425217106,-0.7571973884267533,4202,898
worstPitchXrv100,0.3120572177803203,1534.706467203653,0.3005166201252238,0.33244064912951365,-0.3206110450668385,0.7288806019623391,4202,898
avg,0.30054439910891667,1620.1631499377793,-0.29040710424314475,-0.3764014892615073,0.3693595527101575,-0.7068512402845394,4202,898
obp,0.28776620087605675,1723.018866927077,-0.2795235419364326,-0.29075560972433373,0.2781485846800094,-0.7384295899026918,4202,898
bbToK,0.36263979094275944,1223.5359315746878,-0.2709207526008183,-0.2720983493215461,0.2615032326797862,-0.6054293458054499,4202,898
chasePct,0.5274727414956937,623.6401712955799,0.2699228204814607,0.22051667680442957,-0.19723432767755902,0.4519538790581927,4202,898
pitchesPerG,0.9909161871190323,6.38173099223597,-0.26197581555748073,-0.3324125751073203,0.2746515174967654,-0.3384402316717992,4202,898
fbVelo,0.9950719544024367,3.447684119024153,0.2544644929053578,0.283554554390675,-0.2705300689536797,0.3184855301966564,4166,892
bestPitchXrv100,0.249340690453419,2095.8343505735984,0.24839528327551844,0.4172348795980708,-0.40078853921211877,0.7517129799787289,4202,898
strikePct,0.612435748147705,440.5451413825474,0.24786308411945795,0.16577496358427377,-0.1402727815335364,0.41302090525517354,4202,898
iso,0.2559742892859136,2023.4796189063322,-0.243005727294371,-0.2911845308730808,0.2577404371596968,-0.6149053498030934,4202,898
veloP90,0.9942768521140937,4.007143326198376,0.24178843658436616,0.286803771998824,-0.2763090856737567,0.3056224657940515,4202,898
usageEntropy,0.9858915681030691,9.962236114088244,-0.23430101442084186,-0.2702423878186513,0.2496034488355061,-0.31124438209128674,4202,898
nTypes5,0.9268440180590345,54.94781528172507,-0.2154800255361993,-0.23412425315493646,0.21516655155573436,-0.2852902696786604,4202,898
avgVelo,0.9890953036596164,7.675075803463081,0.21511827277567347,0.23397085338138365,-0.2230365042066692,0.26179859978411973,4202,898
avgEV,0.40077092445457024,1040.887776221381,-0.20635696212631013,-0.24061840931119538,0.22161939065588365,-0.46289738598215846,4202,898
ev50,0.37091127065757407,1180.7259579736626,-0.20617375562899848,-0.2516881863588596,0.23511300267391078,-0.5203600932598571,4202,898
izSwChase,0.5116052895534445,664.5737184981737,-0.20421247558366243,-0.1803508497135686,0.15324436459101146,-0.36486775783916575,4202,898
xrvoe,0.2367684532045252,2244.0871183595636,0.20108684266492724,0.24486031195883526,-0.23220621329685745,0.7986760638210878,4186,895
hardHitPct,0.2968974525984943,1648.6157212283858,-0.18138507434739976,-0.23518681544277487,0.22553210916415106,-0.47831278814174655,4202,898
xwobacon,0.15148862464491816,3899.284138790723,-0.1794546288151676,-0.26236413229339556,0.2291083898129979,-0.7370371658869439,4202,898
locRaw,0.764365517046895,214.60754982889915,0.17854707137814574,0.09359266677885521,-0.08667674411594058,0.2856723343929122,4202,898
swingPct,0.6483898846692565,377.51339553167617,0.173523616877112,0.1173597059842997,-0.10865971218225866,0.2577164467507944,4202,898
barrelPct,0.20770462339308113,2655.5115500465995,-0.15630490040908485,-0.20471255287170248,0.17634632577939283,-0.5187567882745273,4202,898
oneOneWinPct,0.18107550963931918,3148.410700651391,0.1448547271920091,0.11550385313107718,-0.1023969904664882,0.2742003457704885,4202,898
fpsPct,0.4319412232314507,915.5369093138113,0.14248948176885873,0.030323519292188555,-0.010483597154372906,0.22933664502897852,4202,898
avgFbDist,0.14976364137722964,3952.214603866033,-0.13375173031341467,-0.19240229074600482,0.17244524288536062,-0.4577997275364319,4202,898
fpSwingPct,0.48610358486642946,735.9596447857641,0.11353203287319788,0.057924454010657704,-0.05367069915165377,0.14680518982151738,4202,898
hrFbPct,0.07913445284181639,8100.985555193707,-0.11155010759545611,-0.15798664441848603,0.12631258122504,-0.4438510418036468,4202,898
maxEV,0.19703925866514876,2836.9310727420775,-0.10392333783930012,-0.13929004130959186,0.10558285270916767,-0.1954752112268303,4202,898
