mlbam,fangraphs,bbref,retro,last,first,birthYear
121675,1011421,sandero02,sandr101,Sanders,Roy,1894
676886,20205,beaslje01,beasj001,Beasley,Jeremy,1995
111967,1001923,cantwto01,cantt101,Cantwell,Tom,1888
119141,1008958,millsja01,millj107,Mills,Jack,1889
695670,29958,fordha01,fordh001,Ford,Harry,2003
117415,1007260,lakeed01,lakee101,Lake,Eddie,1916
613317,16618,birdky01,birdk001,Bird,Kyle,1993
819135,,hartmga01,hartg104,Hartman,Garrell,1913
124205,1013876,whitegu01,whitg102,Whiteley,Guerdon,1859
118182,1008007,makosfr01,makof101,Makosky,Frank,1910
136270,1000521,baptitr01,baptt001,Baptist,Travis,1971
118106,1007937,macwhke01,macwk101,MacWhorter,Keith,1955
506648,7759,herreyo01,herry001,Herrera,Yoslán,1981
117017,1006874,kerrjo01,kerrj102,Kerr,John,1898
112321,1002279,clarked01,clare101,Clark,Ed,1863
115683,1005568,heatone01,heatn001,Heaton,Neal,1960
455090,7487,egberja01,egbej001,Egbert,Jack,1983
121028,1010792,reidbi01,reidb102,Reid,Billy,1857
119732,1049,nevinph01,nevip001,Nevin,Phil,1971
124177,1013879,whiteja02,whitj106,White,Jack,1905
820802,,jennith01,jennt101,Jennings,Thurman,1890
112475,1002423,colemje01,colej106,Coleman,Jerry,1924
117537,1007381,laudnti01,laudt001,Laudner,Tim,1958
817990,,nearshe01,nearh101,Nears,Henry,1907
122710,1012453,steelji01,steej001,Steels,James,1961
519096,7385,oteroda01,oterd001,Otero,Dan,1985
118282,1008105,margojo01,margj101,Margoneri,Joe,1930
665871,21741,assadja01,assaj001,Assad,Javier,1997
112224,1002170,cheadda01,chead101,Cheadle,Dave,1952
407053,733,johnsad01,johna001,Johnson,Adam,1979
608700,13807,plaweke01,plawk001,Plawecki,Kevin,1991
122370,1012116,smithda01,smitd105,Smith,Dave,1914
110634,1000619,barrysh01,barrs101,Barry,John,1878
116898,1006750,keenaji02,keenj103,Keenan,Jimmie,1899
116058,1960,holbeaa01,holba001,Holbert,Aaron,1973
117356,1007202,kuheljo01,kuhej101,Kuhel,Joe,1906
819686,,duncafr01,duncf101,Duncan,Frank,1888
117215,1007062,knoxcl01,knoxc101,Knox,Cliff,1902
113038,1002972,danieja02,danij102,Daniels,Jack,1927
451546,2786,depauju01,depaj003,De Paula,Julio,1982
694192,28806,chourja01,chouj001,Chourio,Jackson,2004
116196,1006070,hovlijo01,hovlj101,Hovlik,Joe,1884
122330,1012071,slusajo01,slusj001,Slusarski,Joe,1966
111262,948,bottari01,bottr001,Bottalico,Ricky,1969
672569,22707,campegu01,campg001,Campero,Gustavo,1997
119051,1008863,milesji01,milej101,Miles,Jim,1943
501255,2832,ynoara01,ynoar001,Ynoa,Rafael,1987
819779,,dewitsa01,dewis101,Dewitt,Samuel,1893
110468,1000448,bakerde01,baked102,Baker,Del,1892
112260,1002219,chrismi01,chrim101,Chris,Mike,1957
628333,16017,despaod01,despo001,Despaigne,Odrisamer,1987
817434,,rossdi01,rossd102,Ross,Dick,
112096,1002049,cassaha01,cassh101,Cassady,Harry,1880
120887,1010651,raglafr01,raglf101,Ragland,Frank,1904
119197,1009000,mitchda01,mitcd101,Mitchell,Dale,1921
119534,1009336,murakma01,muram101,Murakami,Masanori,1944
124587,1014265,wortmch01,wortc101,Wortman,Chuck,1892
118676,1008493,mcfarho01,mcfah101,McFarland,Howie,1910
121224,1010979,ripleal01,ripla101,Ripley,Allen,1952
116258,1006131,hudlere01,hudlr001,Hudler,Rex,1960
448276,8066,carrobr01,carrb001,Carroll,Brett,1982
117727,1007572,lewalde01,lewad101,Lewallyn,Dennis,1953
114115,1004036,figuebi01,figub001,Figueroa,Bien,1964
120230,1009999,parkecl01,parkc001,Parker,Clay,1962
430944,2368,jacobbu02,jacob002,Jacobsen,Bucky,1975
115485,1005371,harmobo01,harmb101,Harmon,Bob,1887
817226,,smith18,,Smith,,
112900,1002840,cruzhe02,cruzh102,Cruz,Henry,1952
537953,5450,navada01,navad002,Nava,Daniel,1983
123086,1012822,tanneje01,tannj101,Tannehill,Jesse,1874
115114,1252,greerru01,greer001,Greer,Rusty,1969
114844,956,glanvdo01,gland001,Glanville,Doug,1970
119136,1008944,millijo01,millj108,Milligan,John,1861
572119,10029,schuspa01,schup001,Schuster,Patrick,1990
117057,1006908,killied01,kille101,Killian,Ed,1876
276913,1694,turnbde01,turnd001,Turnbow,Derrick,1978
572910,9959,hassaal01,hassa002,Hassan,Alex,1988
112227,1002173,cheekha01,cheeh101,Cheek,Harry,1879
118791,1008607,mclauba01,mclab103,McLaughlin,Barney,1862
624427,15492,gonsast01,gonss001,Gonsalves,Stephen,1994
112497,1002459,collior02,collo102,Collier,Orlin,1907
112014,1001970,carmich01,carmc101,Carmichael,Chet,1888
115132,1209,grievbe01,grieb001,Grieve,Ben,1976
680694,24586,bradiky01,bradk001,Bradish,Kyle,1996
818244,,mcdanfr01,mcdaf101,McDaniel,Fred,1913
114954,1004861,goodwar01,gooda101,Goodwin,Art,1876
123862,1013550,wallaje01,wallj001,Wallace,Jeff,1976
113315,1003251,devliji03,devlj101,Devlin,Jim,1922
120409,1010181,perezge01,pereg101,Perez,George,1937
111538,1001504,browncl01,browc103,Brown,Clint,1903
124457,1014138,winnge01,winng101,Winn,George,1897
119655,1009453,narroje01,narrj001,Narron,Jerry,1956
115127,1005032,greyre01,greyr101,Grey,Reddy,1875
123883,1013577,walshjo03,walsj104,Walsh,Joe,1886
820606,,bankhfr01,bankf101,Bankhead,Fred,1912
112244,1002191,chilepe01,chilp101,Chiles,Pearce,1867
665828,21707,cabreos01,cabro002,Cabrera,Oswaldo,1999
116310,1006187,humphmi01,humpm001,Humphreys,Mike,1967
110088,1000084,agostju01,agosj001,Agosto,Juan,1958
119975,789,o'leatr01,oleat001,O'Leary,Troy,1969
124713,1014391,youngru01,younr102,Young,Russ,1902
816459,,wrighzo01,wrigz102,Wright,Zollie,1909
122532,1012276,sommepe01,sommp101,Sommers,Andy,1865
122790,1012531,stidhph01,stidp001,Stidham,Phil,1968
425146,1620,roberna01,roben001,Robertson,Nate,1977
518577,7250,cowgico01,cowgc001,Cowgill,Collin,1986
817918,,ormecl01,ormec101,Orme,Clarence,1899
118033,1007861,lynchda01,lyncd101,Lynch,Danny,1926
124593,1014278,wrighge02,wrigg103,Wright,Gene,1878
111201,1001171,bonneba01,bonnb001,Bonnell,Barry,1953
111181,1001152,boltoce01,boltc102,Bolton,Cecil,1904
117295,1007144,krausja01,krauj101,Kraus,Jack,1918
660294,27459,tsutsyo01,tsuty001,Tsutsugo,Yoshi,1991
121847,1011595,schneje01,schnj101,Schneider,Jeff,1952
117914,1007751,lopezal01,lopea102,Lopez,Al,1908
113009,1002945,daleype01,dalep101,Daley,Pete,1930
150277,1244,davisdo02,david002,Davis,Doug,1975
115458,1005346,hardilo02,hardl103,Harting,Jumbo,1865
115855,1005735,herrnjo01,herrj101,Herrnstein,John,1938
110066,1000064,adamssp02,adams102,Adams,Spencer,1898
121865,1011613,schrepa01,schrp102,Schreiber,Paul,1902
123891,1013582,waltebe01,waltb101,Walter,Bernie,1908
110850,1000827,bendech01,bendc101,Bender,Charles,1884
114489,1004403,fultobi01,fultb001,Fulton,Bill,1963
670183,27583,actonga01,actog001,Acton,Garrett,1998
275933,773,downssc01,downs001,Downs,Scott,1976
816950,,thompha03,,Thompson,Harold,
502055,9494,buentja01,buenj001,Buente,Jay,1983
452075,7705,roberco01,robec002,Robertson,Connor,1981
122561,1012303,spansbi01,spanb101,Spanswick,Bill,1938
118732,1008548,mcgrima01,mcgrm101,McGrillis,Mark,1872
112303,1002250,clackbo01,clacb101,Clack,Bobby,1850
115052,1004956,grassmi01,grasm101,Grasso,Mickey,1920
112818,1002759,cregape01,cregp101,Cregan,Pete,1875
111295,1001257,bowieji01,bowij001,Bowie,Jim,1965
488681,629,barnebr02,barnb002,Barnes,Brandon,1986
118759,1008575,mcivoot01,mcivo101,McIvor,Otto,1884
111271,1001233,bouchme01,boucm101,Boucher,Medric,1886
115646,1005531,hayesvo01,hayev001,Hayes,Von,1958
123869,1013556,wallere01,wallr101,Waller,Red,1883
114878,1004790,goarjo01,goarj101,Goar,Jot,1870
117450,1007292,landera01,landr001,Landestoy,Rafael,1953
430898,2388,alfarja01,alfaj001,Alfaro,Jason,1977
120406,1010180,perezda01,pered001,Perez,Danny,1971
124010,1013704,weavero01,weavr101,Weaver,Roger,1954
113784,774,eischjo01,eiscj001,Eischen,Joey,1970
