Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Mike Yastrzemski","ATL",34,148,128,29,17,6,1,5,18,17,17,0,35,1,1,1,,1,0,0.229191,0.111981,0.240423,0.465765,0.322233,0.404343,0.319915,0.726576,0.175152,3.98879,0.275502,0.00797606,-0.14812,17.9973,0.387,100.14,-0.140144,0.424645,-0.11509575694799423,-1.5025156736373901,0.321263,656.0999755859375,,,,,,,160.4,4.717647058,160.4,4.717647058,,,,,,,,,,,,,,,,,,,"Mike Yastrzemski","14854",573262
"Ryan Kreidler","MIN",33,143,126,26,17,6,1,3,16,14,14,0,40,2,1,1,,4,1,0.209705,0.0971728,0.279898,0.347172,0.294792,0.343096,0.285861,0.637888,0.133391,5.73345,0.278826,0.0354756,-0.0367977,13.4424,-3.56994,79.7714,-0.00132208,0.0340906,-3.3750792030477896,1.3751400150358677,0.315053,999,,,,,,,123.7,3.748484848,123.7,3.748484848,,,,,,,,,,,,,,,,,,,"Ryan Kreidler","25867",668952
"Daylen Lile","WSN",46,197,181,46,30,9,3,4,23,22,13,0,36,2,1,0,,5,2,0.256549,0.0636571,0.181706,0.35033,0.310713,0.410967,0.314627,0.72168,0.154418,6.37973,0.295894,0.265311,-0.0935366,23.2037,-0.330004,97.091,0.171774,-0.0207502,-0.5260183960199356,-2.779237862676382,0.313551,206.50999450683594,,,,,,,206.3,4.484782608,206.3,4.484782608,,,,,,,,,,,,,,,,,,,"Daylen Lile","29995",695734
"Josh Lowe","LAA",35,150,136,32,20,7,1,5,17,17,12,1,41,1,1,1,,5,1,0.239014,0.0771652,0.275744,0.279843,0.300393,0.403496,0.305992,0.703889,0.164482,5.65627,0.304456,-0.0583356,0.500269,16.5624,-1.30051,93.3224,0.441933,-0.0115912,-0.7274565696716309,-1.5478567378595471,0.31305,297.0899963378906,,,,,,,161.9,4.625714285,161.9,4.625714285,,,,,,,,,,,,,,,,,,,"Josh Lowe","19953",666139
"Andrew Vaughn","MIL",40,172,155,40,25,9,1,6,18,23,14,0,32,2,1,0,,0,0,0.256387,0.0811078,0.184035,0.44072,0.323042,0.431239,0.329107,0.754281,0.174852,2.23883,0.28592,-0.240113,-0.219548,22.2303,1.73305,107.485,-0.459661,-0.492057,1.1040720343589783,-3.6118101477622986,0.310661,272.2699890136719,,,,,,,205.2,5.13,205.2,5.13,,,,,,,,,,,,,,,,,,,"Andrew Vaughn","26197",683734
"Nasim Nuñez","WSN",40,173,152,35,29,4,1,1,20,14,18,0,39,1,1,2,,15,3,0.230837,0.102752,0.223275,0.460203,0.313611,0.295941,0.279489,0.609552,0.0651044,7.12752,0.298724,0.00835001,1.58371,15.4571,-5.24122,73.6239,1.59206,0.703336,-3.972636103630066,1.373860776424408,0.306982,583.0999755859375,,,,,,,147.8,3.695,147.8,3.695,,,,,,,,,,,,,,,,,,,"Nasim Nunez","25979",683083
"Freddy Fermin","SDP",25,97,88,20,14,4,0,2,10,9,7,0,19,1,1,1,,0,0,0.226429,0.073933,0.199767,0.370096,0.289445,0.342304,0.280755,0.631748,0.115875,2.36676,0.2659,0.029643,-0.157332,8.77297,-2.84078,78.1285,-0.127689,0.564577,-2.716774418950081,2.4658119082450867,0.306459,735.3099975585938,,,,,,,78.4,3.136,78.4,3.136,,,,,,,,,,,,,,,,,,,"Freddy Fermin","21840",666023
"Willi Castro","COL",44,190,169,43,29,8,1,5,23,20,15,0,46,4,1,0,,5,2,0.252655,0.0809115,0.240294,0.336719,0.328412,0.397841,0.321109,0.726253,0.145187,5.43876,0.31735,0.0841215,-0.0690765,23.3659,0.682782,87.9643,0.0150449,-0.770672,-2.7676589405164123,-0.38023942708969116,0.306054,256.3399963378906,,,,,,,208.6,4.74090909,208.6,4.74090909,,,,,,,,,,,,,,,,,,,"Willi Castro","17338",650489
"Braden Montgomery","CHW",43,185,166,40,25,10,1,4,19,20,15,0,50,2,1,0,,2,1,0.239336,0.0788899,0.271936,0.290104,0.306662,0.385475,0.304583,0.692137,0.146139,4.7301,0.316194,0.0314483,-0.275083,20.2227,-1.81599,93.2806,-0.243634,-0.0604459,-1.695403203368187,-1.9692421816289425,0.299424,999,,,,,,,182.3,4.239534883,182.3,4.239534883,,,,,,,,,,,,,,,,,,,"Braden Montgomery","35423",695731
"Jordan Lawlar","ARI",25,109,97,23,15,5,1,2,13,12,9,0,29,2,1,0,,4,1,0.236579,0.0839574,0.265987,0.315645,0.311677,0.378052,0.305184,0.689729,0.141472,6.19434,0.31013,0.0498437,0.286005,12.0215,-1.02132,89.796,0.335848,0.239471,-1.0206975936889648,0.42619962990283966,0.299042,261.6499938964844,,,,,,,108.6,4.344,108.6,4.344,,,,,,,,,,,,,,,,,,,"Jordan Lawlar","29976",691783
