k,subset,r_S,r_Y,combined,se
6,stuffRaw+locRaw+xrvoe+kPct+whiffPct+pitchesPerG,0.5249472517079246,0.5873569543777457,0.5561521030428351,0.012847968968542648
6,xrvoe+kPct+cswPct+xrv100+usageEntropy+pitchesPerG,0.5257607751502011,0.5865065225559825,0.5561336488530918,0.011829947064262622
6,stuffRaw+locRaw+kPct+xrv100+usageEntropy+pitchesPerG,0.5237242524383973,0.5885128817582542,0.5561185670983257,0.01282492586978781
6,stuffRaw+kPct+cswPct+chasePct+barrelPct+pitchesPerG,0.5218939122426165,0.5903422066628935,0.556118059452755,0.013875972577594113
6,stuffRaw+locRaw+kPct+cswPct+weakSideXrv100+pitchesPerG,0.5244122425957376,0.5878117615928561,0.5561120020942969,0.012873865524785713
6,stuffRaw+kPct+kbbPct+izWhiffPct+barrelPct+pitchesPerG,0.5187000184908767,0.5935085382334925,0.5561042783621846,0.014877242017032935
6,stuffRaw+kbbPct+izWhiffPct+fipCore+gbPct+pitchesPerG,0.5197997661225023,0.5923869489135887,0.5560933575180456,0.015244558425218414
6,stuffRaw+kPct+cswPct+izWhiffPct+xrv100+pitchesPerG,0.5203055447734053,0.5918633100704407,0.556084427421923,0.014209763276454354
6,stuffRaw+kbbPct+cswPct+izWhiffPct+barrelPct+pitchesPerG,0.5211406345577306,0.5910275981752553,0.5560841163664929,0.014287704701745901
6,xrvoe+kPct+cswPct+whiffPct+xrv100+pitchesPerG,0.5262272682642212,0.5859077864153504,0.5560675273397857,0.011788490747373025
6,xrvoe+kPct+xrv100+barrelPct+usageEntropy+pitchesPerG,0.5224202689511384,0.589708647602267,0.5560644582767027,0.012963264388986364
6,stuffRaw+xrvoe+kPct+xrv100+usageEntropy+pitchesPerG,0.5217158764005788,0.5904068152305327,0.5560613458155558,0.013066325402243286
6,stuffRaw+xrvoe+kPct+xrv100+xwobacon+pitchesPerG,0.5218537715740744,0.5902650506096219,0.5560594110918482,0.013124174608924366
5,stuffRaw+locRaw+kPct+xrv100+pitchesPerG,0.5228306211382804,0.5892824226808503,0.5560565219095653,0.013189302853133744
6,stuffRaw+locRaw+kPct+xrv100+xwobacon+pitchesPerG,0.5230200709810026,0.5890924107772433,0.556056240879123,0.013097635219453355
5,stuffRaw+xrvoe+kPct+xrv100+pitchesPerG,0.5211617613841663,0.5909356512169357,0.556048706300551,0.013323998392556385
6,stuffRaw+kPct+chasePct+xrv100+barrelPct+pitchesPerG,0.5214319064818052,0.590638765010291,0.5560353357460481,0.01390679816781778
6,xrvoe+kPct+izWhiffPct+xrv100+fipCore+pitchesPerG,0.5240617200126524,0.5880083922047035,0.556035056108678,0.012630839360281658
6,stuffRaw+locRaw+kPct+xwobacon+bestPitchXrv100+pitchesPerG,0.5205218493435916,0.5915314504214422,0.5560266498825168,0.013720793663122163
6,stuffRaw+locRaw+kbbPct+whiffPct+barrelPct+pitchesPerG,0.5256861155664871,0.5863635985295204,0.5560248570480038,0.01270016329752212
6,stuffRaw+kPct+izWhiffPct+xrv100+xwobacon+pitchesPerG,0.5207985285528308,0.5912309961139816,0.5560147623334062,0.013834617939012537
6,stuffRaw+xrvoe+whiffPct+xrv100+xwobacon+pitchesPerG,0.5259601751211134,0.5860527598225755,0.5560064674718445,0.011778476846517118
6,stuffRaw+locRaw+cswPct+izWhiffPct+xrv100+pitchesPerG,0.5272295107129392,0.5847828498460064,0.5560061802794728,0.01226331926881487
6,stuffRaw+locRaw+whiffPct+xrv100+xwobacon+pitchesPerG,0.5272440432293538,0.5847539923536659,0.5559990177915098,0.011874315413141177
6,stuffRaw+locRaw+kPct+cswPct+bestPitchXrv100+pitchesPerG,0.5206145494035532,0.5913812295302967,0.555997889466925,0.013595836781166408
6,stuffRaw+xrvoe+izWhiffPct+xrv100+xwobacon+pitchesPerG,0.5241415228609985,0.5878391001975541,0.5559903115292764,0.012591815534078343
6,xrvoe+kPct+xrv100+xwobacon+barrelPct+pitchesPerG,0.522583433384292,0.5893695134438832,0.5559764734140876,0.0129812803837858
6,stuffRaw+locRaw+izWhiffPct+xrv100+xwobacon+pitchesPerG,0.5247319298127194,0.5872072886931053,0.5559696092529124,0.012658441129410551
6,stuffRaw+locRaw+kPct+cswPct+xwobacon+pitchesPerG,0.5247823929137941,0.5871353656716017,0.5559588792926979,0.012658455866921632
6,stuffRaw+xrvoe+kPct+xrv100+fipCore+pitchesPerG,0.5215705129059652,0.5903011394746588,0.555935826190312,0.013380367222704607
6,stuffRaw+kPct+chasePct+barrelPct+bestPitchXrv100+pitchesPerG,0.5180653028817462,0.5937084437791229,0.5558868733304345,0.014708063449585697
6,stuffRaw+kPct+izWhiffPct+chasePct+fipCore+pitchesPerG,0.5229388994509795,0.5888065616576529,0.5558727305543162,0.013707637519983105
6,stuffRaw+cswPct+izWhiffPct+xrv100+xwobacon+pitchesPerG,0.5236001735912102,0.5881391845439953,0.5558696790676028,0.013109754443230764
6,stuffRaw+kPct+izWhiffPct+xrv100+bestPitchXrv100+pitchesPerG,0.5172905816237727,0.594444975485951,0.5558677785548618,0.014765691614957476
6,stuffRaw+locRaw+kPct+fipCore+bestPitchXrv100+pitchesPerG,0.5203127331500893,0.5914134251802023,0.5558630791651458,0.014040621869434904
5,xrvoe+kPct+cswPct+xrv100+pitchesPerG,0.524879165365397,0.586824304912565,0.555851735138981,0.012102949880959337
6,stuffRaw+izWhiffPct+chasePct+xrv100+xwobacon+pitchesPerG,0.5255207358659253,0.5861717011785841,0.5558462185222547,0.012432071091210507
5,xrvoe+kPct+xrv100+barrelPct+pitchesPerG,0.5216014519509983,0.590048606645713,0.5558250292983556,0.013233158659440488
6,stuffRaw+locRaw+kPct+weakSideXrv100+bestPitchXrv100+pitchesPerG,0.520219174984064,0.5913835046667716,0.5558013398254178,0.013767869365273903
6,stuffRaw+locRaw+kPct+xrv100+fipCore+pitchesPerG,0.5230839355342376,0.588461124331934,0.5557725299330858,0.013256842253838205
6,stuffRaw+locRaw+kPct+izWhiffPct+weakSideXrv100+pitchesPerG,0.5226976696093981,0.5887735877778921,0.5557356286936451,0.01329135690384227
6,xrvoe+kPct+xrv100+gbPct+weakSideXrv100+pitchesPerG,0.5225484883650543,0.5888977949244063,0.5557231416447304,0.013373582213100817
6,stuffRaw+locRaw+kPct+putawayPct+barrelPct+pitchesPerG,0.5221064260392098,0.5893235211864613,0.5557149736128355,0.013613650534508704
6,stuffRaw+locRaw+fbVelo+kPct+xrv100+pitchesPerG,0.5228107257774048,0.5886142653758418,0.5557124955766233,0.013257958369341578
6,xrvoe+kPct+putawayPct+xrv100+gbPct+pitchesPerG,0.5225977455086258,0.5888004465904455,0.5556990960495356,0.013497794319206157
6,stuffRaw+kbbPct+izWhiffPct+barrelPct+bestPitchXrv100+pitchesPerG,0.5185151259105314,0.5928805326978995,0.5556978293042154,0.014787071214969074
6,stuffRaw+xrvoe+fbVelo+kPct+xrv100+pitchesPerG,0.521046261648153,0.5903424240338748,0.5556943428410139,0.013371930313189643
6,xrvoe+kPct+cswPct+xrv100+fipCore+pitchesPerG,0.5250764116840371,0.586270403779258,0.5556734077316475,0.01216053334093157
6,stuffRaw+kPct+chasePct+barrelPct+weakSideXrv100+pitchesPerG,0.5197350730651246,0.5915914593442009,0.5556632662046628,0.014333777328213738
6,xrvoe+kPct+izWhiffPct+xrv100+usageEntropy+pitchesPerG,0.5236017204909352,0.5877031513346861,0.5556524359128107,0.01230731880138407
6,stuffRaw+locRaw+kPct+kbbPct+xrv100+pitchesPerG,0.5227375745103724,0.5885151993262716,0.555626386918322,0.013126333257187185
6,locRaw+xrvoe+kPct+xrv100+gbPct+pitchesPerG,0.5234782135208973,0.587750105398183,0.5556141594595401,0.01322553760284715
6,stuffRaw+cswPct+izWhiffPct+chasePct+xrv100+pitchesPerG,0.5265891211343119,0.5846168699749587,0.5556029955546353,0.012436686713745912
6,stuffRaw+locRaw+kPct+whiffPct+fipCore+pitchesPerG,0.5252982794981353,0.5858847134132458,0.5555914964556905,0.01299243964005903
6,stuffRaw+kPct+izWhiffPct+chasePct+gbPct+pitchesPerG,0.520641790546358,0.5905178637853059,0.5555798271658319,0.014540567037468331
5,xrvoe+kPct+izWhiffPct+xrv100+pitchesPerG,0.5231433334780157,0.5880109601721912,0.5555771468251034,0.012521652000796052
6,xrvoe+kPct+whiffPct+xrv100+fipCore+pitchesPerG,0.5252570106704282,0.5858855560230639,0.5555712833467461,0.012143129531168702
6,xrvoe+kPct+whiffPct+izWhiffPct+xrv100+pitchesPerG,0.524588576402645,0.586542215219366,0.5555653958110055,0.012191143333721626
6,stuffRaw+locRaw+kPct+whiffPct+weakSideXrv100+pitchesPerG,0.5240380604363174,0.5870627748692543,0.5555504176527859,0.01297855063839151
6,stuffRaw+locRaw+kPct+cswPct+fipCore+pitchesPerG,0.5246689497096226,0.5864024889005948,0.5555357193051087,0.012924829095407478
