Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Joe Boyle","TBR",0.977752,1.68575,0.794904,4.60321,10,3,0,0.2446,,21.2917,93.0989,18.3489,11.66,10.89,2.78675,11.317,0.249623,1.22419,22.0974,9.3406,4.7837,1.95259,1.17796,0.237354,0.121559,0.11579573154449463,0.227773,1.39331,0.279525,0.698866,,,4.50259,0.184986,0.0597996,713.1400146484375,,,,,,,79.7,3.7952380952380955,74,3.5238095238095237,,,,,,,,,,,,,,,,,,,"Joe Boyle","29608",671212
"Mitch Bratt","ARI",1.15016,1.18044,0.647008,4.75448,8,3,0,0.2208,,18.5888,79.6544,18.8491,10.55,9.82,3.02109,5.33519,0.234258,0.63449,15.5671,7.53701,2.5831,2.91781,1.4627,0.195433,0.0669791,0.12845347076654434,0.255807,1.30101,0.287277,0.683259,,,4.51106,0.184946,0.0530753,999,,,,,,,68.29999999999998,3.594736842105262,70,3.6842105263157894,,,,,,,,,,,,,,,,,,,"Mitch Bratt","30003",683352
"Jake Irvin","WSN",1.48464,3.20906,2.13576,5.00761,10,6,0,0.2197,,35.1186,152.4,35.1242,21.02,19.54,6.4336,12.6293,0.176628,1.69874,29.7549,7.62543,3.23656,2.35603,1.64877,0.195243,0.0828694,0.11237339675426483,0.254391,1.35978,0.281603,0.689959,,,5.02071,0.18197,0.0739755,999,,,,,,,109.19999999999999,3.1199999999999997,112,3.2,,,,,,,,,,,,,,,,,,,"Jake Irvin","21504",663623
"Bryan Abreu","HOU",0.841813,0.415411,0,3.56682,20,0,0.369,5.0486,,13.8275,58.3095,10.5494,5.91,5.48,1.56797,6.41633,0.150633,0.541807,18.4293,11.9952,4.17626,2.87225,1.02056,0.31606,0.110039,0.20602063089609146,0.205437,1.22696,0.286453,0.748498,,,3.4279,0.181659,0.146769,181.6999969482422,,,,,,,85.40000000000003,6.100000000000002,79,5.642857142857143,,,,,,,,,,,,,,,,,,,"Bryan Abreu","16609",650556
"Garrett Cleavinger","TBR",0.781065,0.700107,0,3.7008,22,0,0.804,4.8672,,16.0992,67.5075,12.9516,7.13,6.62,1.97562,5.56082,0.207159,1.44239,19.7791,11.0572,3.10868,3.55687,1.10444,0.292991,0.0823733,0.2106177657842636,0.21406,1.14989,0.283253,0.722851,,,3.55288,0.180347,0.153153,505.4800109863281,,,,,,,104.00000000000001,6.500000000000001,98,6.125,,,,,,,,,,,,,,,,,,,"Garrett Cleavinger","17897",664076
"Andrew Morris","MIN",0.701423,0.590363,0,3.82716,21,0,0.986,4.2377,,13.169,55.7639,12.3606,6.05,5.6,1.2461,3.95027,0.31541,0.565666,12.6979,8.67802,2.6997,3.21444,0.851613,0.227708,0.0708392,0.15686912834644318,0.241191,1.23858,0.297943,0.704424,,,3.44015,0.177443,0.0925234,999,,,,,,,84.7,6.515384615384615,84,6.461538461538462,,,,,,,,,,,,,,,,,,,"Andrew Morris","31891",702193
"Justin Verlander","DET",1.18233,1.57369,1.77526,5.24854,4,4,0,0,,22.652,99.0284,22.872,14.15,13.21,4.12302,8.44804,0.0739536,1.09271,18.333,7.284,3.35654,2.17009,1.63814,0.185129,0.0853093,0.09981955587863922,0.255589,1.38266,0.279704,0.672075,,,5.12083,0.176442,0.0601347,658.8499755859375,,,,,,,70.2,3.0521739130434784,72,3.130434782608696,,,,,,,,,,,,,,,,,,,"Justin Verlander","8700",434378
"JP Sears","SDP",2.3441,2.92307,1.97703,5.24702,13,7,0,0.2244,,39.2108,170.932,41.3961,24.68,22.86,7.38186,12.9202,0.320885,1.62363,30.0263,6.89188,2.96555,2.32398,1.69435,0.175662,0.0755866,0.1000751405954361,0.2647,1.38524,0.285881,0.673833,,,5.13832,0.175848,-0.0841934,999,,,,,,,110.90000000000003,2.8435897435897446,119,3.051282051282051,,,,,,,,,,,,,,,,,,,"JP Sears","23429",676664
"Ryan Feltner","COL",2.46574,4.21758,2.79667,5.95715,13,9,0,0.193,,47.5144,214.477,54.1239,33.52,31.45,7.95007,20.268,0.248203,1.75873,35.4841,6.72127,3.83909,1.75074,1.50587,0.165444,0.0944995,0.07094499468803406,0.281235,1.56567,0.309857,0.646076,,,5.182,0.172805,-0.367351,999,,,,,,,120.40000000000006,2.5083333333333346,140,2.9166666666666665,,,,,,,,,,,,,,,,,,,"Ryan Feltner","21446",663372
"Orion Kerkering","PHI",1.1357,0.506889,0,3.82064,22,0,0.338,4.259,,16.5836,69.9835,14.3754,7.6,7.04,1.86006,5.74888,0.281846,0.938785,16.6739,9.04897,3.11994,2.90037,1.00946,0.238254,0.0821463,0.15610814839601517,0.227115,1.21351,0.279599,0.714849,,,3.76676,0.17004,0.105361,999,,,,,,,93.80000000000001,5.51764705882353,88,5.176470588235294,,,,,,,,,,,,,,,,,,,"Orion Kerkering","31776",689147
